url47e6aca666_pocorall_automaton_tgz-pJ8-net_pocorall_automaton_DatatypesJ8,7243,154958,546356
url2b521cbda7_eobermuhlner_jhuge_tgz-pJ8-ch_obermuhlner_jhuge_example_MeasureHeapJ8,12913,315656,546356
url78eec0e0b6_Orikuro_vic_tgz-pJ8-net_nexon_vindictus_itemcomparer_inport_StaticImportJ8,6700,176978,9249338
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,8403,303763,2821171
urleb43757003_Origraena_mas_platform_tgz-pJ8-ori_MainJ8,2876,81955,151697
url7f729337e3_timmolter_Sundial_tgz-pJ8-org_knowm_sundial_SampleRunJ8,15652,246651,58735046
urlabf490b498_anilasj_skillmonster_tgz-pJ8-org_json_TestJ8,6759,108203,15499345
url64d634b8f0_agdturner_generic_tgz-pJ8-uk_ac_leeds_ccg_andyt_generic_visualisation_charts_Generic_BarChartJ8,36620,490699,36012096
url3ee04818e8_abliss_poker_tgz-pJ8-TestJ8,651,28192,21443135
urlb7d18764c0_steveliles_health_tgz-pJ8-com_sjl_health_SampleConfigurationJ8,2326,136851,14579810
url027b37a4db_ctriposs_bigmap_tgz-pJ8-com_ctriposs_bigmap_LimitTestJ8,5089,121690,14579810
urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8,8078,227733,6074404
urlfcc351a1ba_kuntapavankumar_Z_tgz-pJ8-edu_concordia_dpis_ReplicaTestJ8,3575,141282,14579810
urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8,17940,295106,420625
url36deadcd05_SCass1986_spawncamping_cyril_tgz-pJ8-org_stephen_hashmap_MainJ8,1175,58198,47353578
urlce7759b8da_Palachsuper_EBA4_tgz-pJ8-json_TestJ8,8586,150465,126775
url587829ef81_champdavis_KhovanovHomology_tgz-pJ8-KhovanovMapJ8,1575,37806,3812500
urle514e161fe_pericodiaz89_NextGen_tgz-pJ8-lib_json_TestJ8,9108,203139,14579810
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,15945,242836,35488966
url835a90ed59_aschi_regularLanguages_tgz-pJ8-ch_zhaw_regularLanguages_evolution_runners_EvolvingLocalDivisable5LanguageJ8,5473,184208,25071507
url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8,5470,131643,4058508
urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8,770,28160,14579810
url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8,1656,41724,975214
url0067cdd33d_goldolphin_Mi_tgz-pJ8-mi_regex_CommonJ8,5638,188415,546356
url7a45f192ca_mfullen_ping_pong_net_tgz-pJ8-ping_pong_net_client_io_TestClientNonPPNServerJ8,8405,259504,14579810
url8be3f02398_vnamboo_LearnJava_tgz-pJ8-org_json_TestJ8,8311,172868,59018851
url49584c1d41_Arrem_GGS_tgz-pJ8-com_gamezgalaxy_test_console_MainJ8,11374,274490,339902
url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8,3001,58300,546356
url73605095e9_mp1401_misterx_tgz-pJ8-mp1401_examples_misterx_demo_shell_ShellDemoJ8,2608,101125,4212347
urlfb310a588a_alokhan_LinkStateNetworkSimulation_tgz-pJ8-reso_examples_static_routing_DemoJ8,5293,143980,546356
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,18651,483564,546356
urld5c972ef81_noxx90_jflam_tgz-pJ8-fr_noxx90_jflam_BenchmarkJ8,1090,36979,40999510
url55e48746be_isostorm_RPGame_tgz-pJ8-rpg_MainJ8,5516,76095,570457
url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8,21264,565653,49269589
url0d084b4168_zhourui392_BaiduPicDown_tgz-pJ8-org_json_TestJ8,6488,97359,2941891
url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8,9457,300041,246897
url64700e9ab7_dwicke_course_scheduler_tgz-pJ8-org_json_TestJ8,15941,308056,724445
url97f33aa931_wnr_Othello_tgz-pJ8-kth_game_othello_tournament_MainJ8,4057,112743,2209450
url7507f7ef16_Neuro17_jsongkick_tgz-pJ8-jsongkick_AppJ8,1516,43909,15813481
urlaa051fbd3d_WheezePuppet_collegeDiversity_tgz-pJ8-edu_umw_cpsc_collegediversity_SimJ8,1842,40273,2038366
urlc5fdb179cc_lagodiuk_evo_neural_network_agents_tgz-pJ8-com_lagodiuk_agent_evolution_MainJ8,2749,88467,670975
url863d2ab553_themadcreator_delaunay_tgz-pJ8-org_delaunay_PoissonDiscSamplesDemoJ8,3187,139705,3967231
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,17447,337112,1216440
url93da129d40_marioskogias_blkin_hadoop_tgz-pJ8-mythrift_MyZipkinThriftJ8,3287,106987,9144072
urldf54784279_tonyj321_Root_Play_tgz-pJ8-hep_io_root_output_demo_HistogramDemoJ8,3373,107620,546356
url28dfd00382_byang223_TurnBAPI_tgz-pJ8-units_upgrades_UpgradeTestJ8,10635,276011,172219
urlb44e9843ba_QuasimodoNZ_SWEN222_Game_Project_tgz-pJ8-Game_World_GameWorldLevelBuilderJ8,12362,497425,1102123
url4fdf79ae2c_beckchr_juel_tgz-pJ8-de_odysseus_el_samples_xml_sax_XMELFilterJ8,17171,443194,203847
url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8,4239,243593,263201
url78d0cbe382_TeeAaTeeUu_SitsiPlaseeraus_tgz-pJ8-sitsiplaseeraus_MainJ8,5144,122146,546356
url8d1df200a8_gilleain_signatures_tgz-pJ8-signature_chemistry_LargeMoleculeTestJ8,7503,190013,431177
url58b12a0c74_tatianaslod_daooTP_tgz-pJ8-tp1_MainTp1J8,2034,70084,4837110
url9ef4af9ae5_stevenreyn_RegionViewer_tgz-pJ8-net_slreynolds_ds_SecondTestJ8,3364,107535,546356
url70997c83aa_Xilaew_risiko_tgz-pJ8-risiko_XMI2XMLtransformerJ8,15263,228013,32469774
url27a7ae3508_serkan_ozal_ocean_of_memories_tgz-pJ8-com_zeroturnaround_rebellabs_oceanofmemories_article1_objectlayout_ObjectMemoryLayoutDemoJ8,5177,172923,72078276
