NPE_INV,com.teamdev.students.fsm.FiniteStateMachine.moveForward(Lcom/teamdev/students/fsm/StateMachineContext;Ljava/lang/Enum;)Ljava/lang/Enum;,java.util.Set.iterator()Ljava/util/Iterator;
NPE_INV,com.teamdev.students.calculator.impl.EvaluationService.acceptState(Lcom/teamdev/students/calculator/impl/EvaluationContext;Lcom/teamdev/students/calculator/impl/State;)Z,org.slf4j.Logger.error(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.EvaluationService.acceptState(Lcom/teamdev/students/calculator/impl/EvaluationContext;Lcom/teamdev/students/calculator/impl/State;)Z,com.teamdev.students.calculator.impl.MathExpressionParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;
NPE_INV,com.teamdev.students.calculator.impl.EvaluationService.acceptState(Lcom/teamdev/students/calculator/impl/EvaluationContext;Lcom/teamdev/students/calculator/impl/State;)Z,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.NumberParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.NumberParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.BinaryOperatorParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.BinaryOperatorParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.BinaryOperatorParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,java.lang.String.length()I
NPE_INV,com.teamdev.students.calculator.impl.parsers.LeftParenthesisParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.LeftParenthesisParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.RightParenthesisParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.RightParenthesisParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.FunctionParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.FunctionParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.FunctionParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,java.lang.String.length()I
NPE_INV,com.teamdev.students.calculator.impl.parsers.FunctionLeftParenthesisParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.FunctionLeftParenthesisParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.FunctionRightParenthesisParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
NPE_INV,com.teamdev.students.calculator.impl.parsers.FunctionRightParenthesisParser.parse(Lcom/teamdev/students/calculator/impl/EvaluationContext;)Lcom/teamdev/students/calculator/impl/EvaluationCommand;,org.slf4j.Logger.info(Ljava/lang/String;)V
