program,method,offset,target,label
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/solver/APRIntervalDoubleHybridCohoSolver.costReduced:(Lcoho/lp/LPBasis;II)Z,162,coho/common/number/BasicNumber.mult:(Lcoho/common/number/CohoNumber;)Lcoho/common/number/CohoNumber;,
url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8,kademlia/message/ContentLookupReceiver.receive:(Lkademlia/message/Message;I)V,18,kademlia/routing/JKademliaRoutingTable.insert:(Lkademlia/node/Node;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/Scc.sxx:(I)I,89,m68k/cpu/CpuCore$StatusRegisterOperand.isRegisterMode:()Z,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/LP.dual:()Lcoho/lp/LP;,281,coho/common/matrix/APRMatrix.negate:()Lcoho/common/matrix/Matrix;,
url7a45f192ca_mfullen_ping_pong_net_tgz-pJ8-ping_pong_net_client_io_TestClientNonPPNServerJ8,ping/pong/net/connection/io/IoTcpReadRunnable.close:()V,127,ping/pong/net/connection/io/AbstractIoConnection$1.onRunnableClosed:(Lping/pong/net/connection/DisconnectState;)V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,21372,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url47ebb27197_asirbu_CorrectiveEvolution_tgz-pJ8-eu_fbk_soa_evolution_engine_impl_test_ProblemToSMVFuncTestJ8,eu/fbk/soa/evolution/engine/impl/ProcessModelToSTS.transform:(Leu/fbk/soa/process/node/ProcessNode;Leu/fbk/soa/evolution/sts/State;Leu/fbk/soa/process/ProcessModel;)V,65,eu/fbk/soa/evolution/engine/impl/ProcessModelToSTS.transformAndSplit:(Leu/fbk/soa/process/node/AndSplit;Leu/fbk/soa/evolution/sts/State;Leu/fbk/soa/process/ProcessModel;)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/solver/APRIntervalHybridCohoSolver.argmin:(Lcoho/common/matrix/DoubleIntervalMatrix;Lcoho/common/matrix/DoubleIntervalMatrix;)[I,11,coho/common/matrix/BasicMatrix.length:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/BTST$2.execute:(I)I,5,m68k/cpu/instructions/BTST.btst_dyn_byte:(I)I,
url71665d7d68_branscha_lib_scripty_tgz-pJ8-com_sdicons_scripty_ScriptyAutoReplJ8,com/sdicons/scripty/repl/ReplEngine.handleLine:(Ljava/lang/String;)V,102,com/sdicons/scripty/repl/ReplEngine.setPrompt:(Ljava/lang/String;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ADDA.adda_word:(I)I,66,m68k/cpu/CpuCore$AbsoluteLongOperand.getTiming:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ADDI.addi_byte:(I)I,53,m68k/cpu/CpuCore$PCWithDisplacementOperand.setByte:(I)V,
url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8,fr/inria/optimization/cmaes/CMAEvolutionStrategy.updateDistribution:()V,936,fr/inria/optimization/cmaes/CMAParameters.getCs:()D,
url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,de/measite/minidns/edns/UnknownEDNSOption.<init>:(I[B)V,3,de/measite/minidns/edns/EDNSOption.<init>:(I[B)V,
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParserTokenManager.jjFillToken:()Lxx/Token;,19,xx/SimpleCharStream.GetImage:()Ljava/lang/String;,
urld5c972ef81_noxx90_jflam_tgz-pJ8-fr_noxx90_jflam_BenchmarkJ8,fr/noxx90/jflam/Benchmark.method2:()V,29,fr/noxx90/jflam/renderer/FlameRenderer.<init>:(Lfr/noxx90/jflam/renderer/HistogramRenderer;Lfr/noxx90/jflam/renderer/ImageRenderer;)V,
url7a45f192ca_mfullen_ping_pong_net_tgz-pJ8-ping_pong_net_client_io_TestClientNonPPNServerJ8,ping/pong/net/server/io/ServerConnectionManager$AbstractIoUdpRunnableImpl.run:()V,57,ping/pong/net/server/io/ServerConnectionManager.access$000:()Lorg/slf4j/Logger;,
urld829b80034_wjch111_PTSP2013Wang_tgz-pJ8-controllers_momcts_momctsCore_TestPlannerJ8,controllers/momcts/momctsCore/MOMCTS.playOneSequence:(JZLjava/lang/String;ZZ)Ljava/util/Vector;,221,controllers/momcts/momctsCore/MOMCTS.RAVERanks:(Ljava/util/Vector;Ljava/lang/String;Lcontrollers/momcts/momctsCore/MOUCT;)Ljava/util/Vector;,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/project/LPProject.findPoints:(Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;)Lcoho/common/matrix/Matrix;,251,coho/common/number/IntegerInterval.one:()Lcoho/common/number/CohoNumber;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUBX.subx_word_reg:(I)I,40,m68k/cpu/CpuCore.isFlagSet:(I)Z,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUBQ.subq_long:(I)I,43,m68k/cpu/CpuCore$AddressRegisterPostIncOperand.getLong:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/AND.and_word_ea_dest:(I)I,88,m68k/cpu/CpuCore.calcFlags:(Lm68k/cpu/InstructionType;IIILm68k/cpu/Size;)V,
