program,method,offset,target,label
url0067cdd33d_goldolphin_Mi_tgz-pJ8-mi_regex_CommonJ8,mi/regex/Regex.parseAtom:(Lmi/stream/StringStream;)Lmi/regex/AtomRegex;,142,mi/regex/CharRegex.<init>:(C)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/project/LPProject.findByLine:(Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;)Lcoho/common/matrix/Matrix;,222,coho/lp/LPBasicResult.optCost:()Lcoho/common/number/CohoNumber;,
url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8,edu/columbia/stat/wood/pub/sequencememoizer/util/IntRestaurant.removeFromTree:(Ledu/columbia/stat/wood/pub/sequencememoizer/util/MutableLong;)V,37,edu/columbia/stat/wood/pub/sequencememoizer/util/MutableLong.decrement:()V,
url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8,com/github/nkzawa/engineio/parser/Parser.encodePacket:(Lcom/github/nkzawa/engineio/parser/Packet;Lcom/github/nkzawa/engineio/parser/Parser$EncodeCallback;)V,16,com/github/nkzawa/engineio/parser/Parser.encodeByteArray:(Lcom/github/nkzawa/engineio/parser/Packet;Lcom/github/nkzawa/engineio/parser/Parser$EncodeCallback;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ASR.asr_word_mem:(I)I,24,m68k/cpu/CpuCore$AddressRegisterIndirectOperand.getWord:()I,
url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,es/dagaren/gladiator/representation/BitboardPosition.generarMovements:(Ljava/util/List;)V,3943,es/dagaren/gladiator/representation/Colour.opposite:()Les/dagaren/gladiator/representation/Colour;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,12766,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUBI.subi_long:(I)I,34,m68k/cpu/CpuCore$AddressRegisterWithDisplacementOperand.getLong:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ROR.ror_word_mem:(I)I,24,m68k/cpu/CpuCore$AddressRegisterWithIndexOperand.getWord:()I,
url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,com/sohu/t/api/sdk/json/Test.main:([Ljava/lang/String;)V,2807,com/sohu/t/api/sdk/json/JSONObject.getDouble:(Ljava/lang/String;)D,
