program,method,offset,target,label
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,14222,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8,com/google/gsoncode/internal/$Gson$Types.hashCodeOrZero:(Ljava/lang/Object;)I,5,com/google/gsoncode/internal/$Gson$Types$GenericArrayTypeImpl.hashCode:()I,
url47e6aca666_pocorall_automaton_tgz-pJ8-net_pocorall_automaton_DatatypesJ8,net/pocorall/automaton/Datatypes.buildAll:()V,2867,net/pocorall/automaton/Datatypes.put:(Ljava/util/Map;Ljava/lang/String;Lnet/pocorall/automaton/DefaultAutomaton;)V,
url71665d7d68_branscha_lib_scripty_tgz-pJ8-com_sdicons_scripty_ScriptyAutoReplJ8,com/sdicons/scripty/parser/Eval.eval:(Ljava/lang/Object;Lcom/sdicons/scripty/parser/IContext;)Ljava/lang/Object;,170,com/sdicons/scripty/parser/CommandException.<init>:(Ljava/lang/String;)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/solver/APRIntervalHybridCohoSolver.init:(Lcoho/common/matrix/Matrix;)V,33,coho/common/matrix/DoubleIntervalMatrix.create:(Lcoho/common/matrix/Matrix;)Lcoho/common/matrix/DoubleIntervalMatrix;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ROXL$2.execute:(I)I,5,m68k/cpu/instructions/ROXL.roxl_word_imm:(I)I,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/solver/APRIntervalDoubleHybridCohoSolver.pivot:(Lcoho/lp/LPBasis;)Lcoho/lp/LPBasis;,252,coho/common/number/BasicNumber.div:(Lcoho/common/number/CohoNumber;)Lcoho/common/number/CohoNumber;,
url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,es/dagaren/gladiator/communication/ConsoleCommandController.run:()V,34,es/dagaren/gladiator/communication/ConsoleCommandController.recieveCommand:(Ljava/lang/String;)V,
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParser.NameTest:()Ljava/lang/Object;,295,xx/XPathParser.NCName:()Ljava/lang/String;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,4563,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ROXR$3.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,9,m68k/cpu/instructions/ROXR.disassembleOp:(IILm68k/cpu/Size;)Lm68k/cpu/DisassembledInstruction;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/Monitor.dumpInfo:()V,486,m68k/cpu/instructions/RTE$1.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParser.QName_Without_CoreFunctions:()Ljava/lang/Object;,40,xx/XPathParser.jj_ntk:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/Monitor.handleDisassemble:([Ljava/lang/String;)V,195,m68k/cpu/instructions/SUB$3.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/Monitor.handleDisassemble:([Ljava/lang/String;)V,195,m68k/cpu/instructions/CLR$3.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUBQ.subq_word:(I)I,48,m68k/cpu/CpuCore$AddressRegisterPreDecOperand.getWordSigned:()I,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,3406,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SBCD$2.execute:(I)I,5,m68k/cpu/instructions/SBCD.sbcd_ar:(I)I,
url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,es/dagaren/gladiator/representation/BitboardPosition.generarMovements:(Ljava/util/List;)V,5124,es/dagaren/gladiator/representation/Piece.get:(Les/dagaren/gladiator/representation/GenericPiece;Les/dagaren/gladiator/representation/Colour;)Les/dagaren/gladiator/representation/Piece;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVEM.putMultipleLong:(II)I,36,m68k/cpu/CpuCore.getDataRegisterLong:(I)I,
urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8,laazotea/indi/server/INDIJavaDevice.<init>:(Llaazotea/indi/server/AbstractINDIServer;Ljava/lang/Class;Ljava/lang/String;)V,129,laazotea/indi/INDIException.<init>:(Ljava/lang/String;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ASL.asl_word_mem:(I)I,17,m68k/cpu/CpuCore.resolveDstEA:(IILm68k/cpu/Size;)Lm68k/cpu/Operand;,
url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,de/measite/minidns/DNSMessage.<init>:(Lde/measite/minidns/DNSMessage$Builder;)V,220,de/measite/minidns/DNSMessage$Builder.access$1300:(Lde/measite/minidns/DNSMessage$Builder;)Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ASL$4.execute:(I)I,5,m68k/cpu/instructions/ASL.asl_byte_reg:(I)I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/Monitor.handleDisassemble:([Ljava/lang/String;)V,195,m68k/cpu/instructions/SUB$5.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/AND.and_byte_dn_dest:(I)I,73,m68k/cpu/CpuCore$AddressRegisterPreDecOperand.getTiming:()I,
url0067cdd33d_goldolphin_Mi_tgz-pJ8-mi_regex_CommonJ8,mi/regex/DotRegex.match:(Lmi/stream/ICharStream;Lmi/regex/Match;)Z,29,mi/regex/GroupRegex$GroupEnd.match:(Lmi/stream/ICharStream;Lmi/regex/Match;)Z,
urld58fd5e7a9_longrm_weibo_robot_tgz-pJ8-weibo4j_org_json_TestJ8,weibo4j/org/json/Test.main:([Ljava/lang/String;)V,2936,weibo4j/org/json/JSONArray.<init>:(Ljava/lang/String;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/NOT.not_long:(I)I,38,m68k/cpu/CpuCore$AddressRegisterIndirectOperand.setLong:(I)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/Monitor.handleDisassemble:([Ljava/lang/String;)V,195,m68k/cpu/instructions/MOVEA$2.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,
urlce7759b8da_Palachsuper_EBA4_tgz-pJ8-json_TestJ8,json/Cookie.toJSONObject:(Ljava/lang/String;)Ljson/JSONObject;,109,json/JSONTokener.syntaxError:(Ljava/lang/String;)Ljson/JSONException;,
urlce7759b8da_Palachsuper_EBA4_tgz-pJ8-json_TestJ8,json/XML.toString:(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/String;,477,json/JSONObject.toString:()Ljava/lang/String;,
url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8,com/github/nkzawa/engineio/client/transports/Polling.write:([Lcom/github/nkzawa/engineio/parser/Packet;)V,25,com/github/nkzawa/engineio/client/transports/Polling$5.<init>:(Lcom/github/nkzawa/engineio/client/transports/Polling;Lcom/github/nkzawa/engineio/client/transports/Polling;Ljava/lang/Runnable;)V,
urld58fd5e7a9_longrm_weibo_robot_tgz-pJ8-weibo4j_org_json_TestJ8,weibo4j/org/json/XMLTokener.nextEntity:(C)Ljava/lang/Object;,67,weibo4j/org/json/JSONTokener.syntaxError:(Ljava/lang/String;)Lweibo4j/org/json/JSONException;,
