program,method,offset,target,label
url9ef4af9ae5_stevenreyn_RegionViewer_tgz-pJ8-net_slreynolds_ds_SecondTestJ8,net/slreynolds/ds/model/internal/NodeBuilder.getArrayValue:(Ljava/lang/Object;I)Ljava/lang/Object;,33,net/slreynolds/ds/Bar.toString:()Ljava/lang/String;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,288,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
urld58fd5e7a9_longrm_weibo_robot_tgz-pJ8-weibo4j_org_json_TestJ8,weibo4j/org/json/JSONObject.populateInternalMap:(Ljava/lang/Object;Z)V,428,weibo4j/org/json/JSONObject.<init>:(Ljava/lang/Object;Z)V,
url71665d7d68_branscha_lib_scripty_tgz-pJ8-com_sdicons_scripty_ScriptyAutoReplJ8,com/sdicons/scripty/repl/ExtensionRepositoryBuilder.addLibrary:(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Class;)V,761,com/sdicons/scripty/spec/args/ArgListBuilderUtil$Tuple.getX:()Ljava/lang/Object;,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/geom/twodim/Segment.baseCompareByAngle:(Lcoho/geom/twodim/Segment;)I,145,coho/common/number/CohoDouble.zero:()Lcoho/common/number/CohoNumber;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ROXL.roxl_word_mem:(I)I,24,m68k/cpu/CpuCore$AddressRegisterOperand.getWord:()I,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/matrix/BasicMatrix.create:(Lcoho/common/number/CohoNumber;II)Lcoho/common/matrix/BasicMatrix;,1,coho/common/number/DoubleInterval.type:()Lcoho/common/number/CohoType;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVEA.movea_long:(I)I,49,m68k/cpu/CpuCore$AddressRegisterWithIndexOperand.index:()I,
url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,com/sohu/t/api/sdk/json/JSONObject.append:(Ljava/lang/String;Ljava/lang/Object;)Lcom/sohu/t/api/sdk/json/JSONObject;,6,com/sohu/t/api/sdk/json/JSONObject.opt:(Ljava/lang/String;)Ljava/lang/Object;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/CMP.cmp_word:(I)I,76,m68k/cpu/CpuCore$ImmediateOperand.getTiming:()I,
url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,es/dagaren/gladiator/representation/BitboardPosition.undoMove:(Les/dagaren/gladiator/representation/Movement;)Z,313,es/dagaren/gladiator/representation/BitboardPosition.putPiece:(Les/dagaren/gladiator/representation/Piece;Les/dagaren/gladiator/representation/Square;)V,
urle514e161fe_pericodiaz89_NextGen_tgz-pJ8-lib_json_TestJ8,lib/json/JSONObject.valueToString:(Ljava/lang/Object;II)Ljava/lang/String;,124,lib/json/JSONObject.<init>:(Ljava/util/Map;)V,
urld44fdf4fee_nadilsons_reflection_dsl_tgz-pJ8-br_com_bit_ideias_reflection_SimplePerformanceTestJ8,br/com/bit/ideias/reflection/rql/query/ComplexPart.parse:()Lbr/com/bit/ideias/reflection/criteria/expression/Expression;,29,br/com/bit/ideias/reflection/exceptions/SyntaxException.<init>:(Ljava/lang/String;)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/number/DoubleInterval.convert:(Ljava/lang/Number;)Lcoho/common/number/DoubleInterval;,5,coho/common/number/DoubleInterval.<init>:(Ljava/lang/Number;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ILLEGAL$1.execute:(I)I,8,m68k/cpu/CpuCore.raiseException:(I)V,
url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8,Networking/Server.identifyClient:(Ljava/net/Socket;)V,318,Networking/ClientReader.<init>:(Ljava/io/ObjectInputStream;LNetworking/Server;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/CLR.clr_long:(I)I,67,m68k/cpu/CpuCore$PCWithDisplacementOperand.isRegisterMode:()Z,
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/lexer/LexerBuilder.build:(Lfri/patterns/interpreter/parsergenerator/syntax/Syntax;)V,209,fri/patterns/interpreter/parsergenerator/lexer/LexerException.<init>:(Ljava/lang/String;)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/geom/twodim/Line.maxError:()D,49,coho/common/number/CohoAPR.doubleValue:()D,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/PicCodeParserManifestV20.parse:(Ljava/lang/Object;Ljava/lang/Object;)V,783,com/usps/evs/vo/PicCodeVO.setServiceTypeCode:(Ljava/lang/String;)V,
urle514e161fe_pericodiaz89_NextGen_tgz-pJ8-lib_json_TestJ8,lib/json/JSONTokener.next:(I)Ljava/lang/String;,35,lib/json/JSONTokener.syntaxError:(Ljava/lang/String;)Llib/json/JSONException;,
url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,de/measite/minidns/minidnsrepl/DNSSECStats.iterativeDnssecLookup:(Lde/measite/minidns/integrationtest/IntegrationTestTools$CacheConfig;)V,49,de/measite/minidns/dnssec/DNSSECMessage.getUnverifiedReasons:()Ljava/util/Set;,
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,ru/spbau/tinydb/metainformation/MetaInformationTable.createIndex:(Ljava/lang/String;ILjava/lang/String;)Z,91,ru/spbau/tinydb/metainformation/MetaInformationTable.loadTable:(Ljava/lang/String;)Lru/spbau/tinydb/table/Table;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,2886,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/Scc.sxx:(I)I,48,m68k/cpu/CpuCore$AddressRegisterOperand.setByte:(I)V,
urld0f681c558_farom57_AstroidDriver_tgz-pJ8-laazotea_indi_server_examples_MinimumINDIServerJ8,laazotea/indi/server/AbstractINDIServer.removeClient:(Llaazotea/indi/server/INDIClient;)V,11,laazotea/indi/server/DefaultINDIServer.connectionWithClientBroken:(Llaazotea/indi/server/INDIClient;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/MC68000.execute:()I,26,m68k/cpu/instructions/NEG$2.execute:(I)I,
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParserTokenManager.jjMoveStringLiteralDfa17_0:(JJ)I,15,xx/XPathParserTokenManager.jjStartNfa_0:(IJJ)I,
urld58fd5e7a9_longrm_weibo_robot_tgz-pJ8-weibo4j_org_json_TestJ8,weibo4j/org/json/Test.main:([Ljava/lang/String;)V,3548,weibo4j/org/json/JSONObject.getDouble:(Ljava/lang/String;)D,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUBI.subi_word:(I)I,34,m68k/cpu/CpuCore$AddressRegisterIndirectOperand.getWordSigned:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/NEGX$2.execute:(I)I,5,m68k/cpu/instructions/NEGX.negx_word:(I)I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ROXR.roxr_word_reg:(I)I,190,m68k/cpu/CpuCore.setCCRegister:(I)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/project/LPProject.findPoints:(Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;)Lcoho/common/matrix/Matrix;,628,coho/common/number/BasicNumber.compareTo:(Ljava/lang/Object;)I,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,4992,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
