program,method,offset,target,label
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,ru/spbau/tinydb/btree/BxTree.<init>:(Lru/spbau/tinydb/bufferManager/BufferManager;I)V,37,ru/spbau/tinydb/btree/BxTree.writeHeader:()V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/geom/twodim/Line.<init>:(ILcoho/common/number/ScaleNumber;Lcoho/common/number/ScaleNumber;)V,184,coho/common/number/CohoDouble.negate:()Lcoho/common/number/ScaleNumber;,
urld58fd5e7a9_longrm_weibo_robot_tgz-pJ8-weibo4j_org_json_TestJ8,weibo4j/org/json/JSONArray.<init>:(Ljava/lang/Object;Z)V,62,weibo4j/org/json/JSONException.<init>:(Ljava/lang/String;)V,
url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,de/measite/minidns/record/NSEC.<init>:(Lde/measite/minidns/DNSName;[Lde/measite/minidns/Record$TYPE;)V,16,de/measite/minidns/record/NSEC.createTypeBitMap:([Lde/measite/minidns/Record$TYPE;)[B,
url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,es/dagaren/gladiator/evaluation/Evaluator.evaluateMaterial:(Les/dagaren/gladiator/representation/Position;)I,88,es/dagaren/gladiator/representation/BitboardPosition.getNumPieces:(Les/dagaren/gladiator/representation/Piece;)I,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/solver/DoubleIntervalCohoSolver.opt:(Lcoho/common/matrix/Matrix;)Lcoho/lp/solver/CohoSolverResult;,150,coho/lp/solver/CohoSolverResult.<init>:(Lcoho/lp/LPResult$ResultStatus;Lcoho/common/number/CohoNumber;Lcoho/lp/LPBasis;Lcoho/common/matrix/Matrix;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/LINK.link:(I)I,69,m68k/cpu/CpuCore.setAddrRegisterLong:(II)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/DIVU.divu:(I)I,248,m68k/cpu/CpuCore$AddressRegisterPostIncOperand.getTiming:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ADDI.addi_byte:(I)I,95,m68k/cpu/CpuCore$PCWithIndexOperand.getTiming:()I,
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,ru/spbau/tinydb/utils/Utils$1.getNext:()Lru/spbau/tinydb/table/Record;,49,ru/spbau/tinydb/table/Record.<init>:(Ljava/util/Map;I)V,
