program,method,offset,target,label
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParserTokenManager.jjMoveStringLiteralDfa5_0:(JJJJ)I,402,xx/XPathParserTokenManager.jjStartNfaWithStates_0:(III)I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/NOT.not_byte:(I)I,82,m68k/cpu/CpuCore$AddressRegisterPreDecOperand.getTiming:()I,
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/lexer/InputText.getUnreadText:()Ljava/lang/String;,1,fri/patterns/interpreter/parsergenerator/lexer/Input.getUnreadBuffer:()[I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/BCHG$4.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,9,m68k/cpu/instructions/BCHG.disassembleOp:(IILm68k/cpu/Size;)Lm68k/cpu/DisassembledInstruction;,
url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8,com/github/nkzawa/socketio/parser/Parser$Encoder.encode:(Lcom/github/nkzawa/socketio/parser/Packet;Lcom/github/nkzawa/socketio/parser/Parser$Encoder$Callback;)V,0,com/github/nkzawa/socketio/parser/Parser.access$000:()Ljava/util/logging/Logger;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/NEG.neg_long:(I)I,79,m68k/cpu/CpuCore$AddressRegisterOperand.getTiming:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/NOT.not_word:(I)I,66,m68k/cpu/CpuCore$AddressRegisterOperand.isRegisterMode:()Z,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/geom/twodim/Line.<init>:(Lcoho/common/number/CohoNumber;Lcoho/common/number/CohoNumber;Lcoho/common/number/CohoNumber;)V,11,coho/common/number/DoubleInterval.type:()Lcoho/common/number/CohoType;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/EOR.eor_word:(I)I,57,m68k/cpu/CpuCore$AddressRegisterPreDecOperand.setWord:(I)V,
url71665d7d68_branscha_lib_scripty_tgz-pJ8-com_sdicons_scripty_ScriptyAutoReplJ8,com/sdicons/scripty/parser/Eval.eval:(Ljava/lang/Object;Lcom/sdicons/scripty/parser/IContext;)Ljava/lang/Object;,2805,com/sdicons/scripty/parser/Eval.eval:(Ljava/lang/Object;Lcom/sdicons/scripty/parser/IContext;)Ljava/lang/Object;,
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/lexer/StandardLexerRules.getUnicodeIdentifierRules:()[[Ljava/lang/String;,0,fri/patterns/interpreter/parsergenerator/lexer/StandardLexerRules.getUnicodeDigitRules:()[[Ljava/lang/String;,
