program,method,offset,target,label
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParserTokenManager.jjMoveStringLiteralDfa2_0:(JJJJ)I,33,xx/SimpleCharStream.readChar:()C,1
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParser.jj_3R_79:()Z,17,xx/XPathParser.jj_3R_87:()Z,1
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParser.jj_save:(II)V,30,xx/XPathParser$JJCalls.<init>:()V,1
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParserTokenManager.jjMoveStringLiteralDfa11_0:(JJJJ)I,265,xx/XPathParserTokenManager.jjStartNfa_0:(IJJ)I,1
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/lexer/StandardLexerRules.rulesForIdentifier:(Ljava/lang/String;)[[Ljava/lang/String;,282,fri/patterns/interpreter/parsergenerator/lexer/StandardLexerRules.getRulerefRules:()[[Ljava/lang/String;,1
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/lexer/StandardLexerRules.rulesForIdentifier:(Ljava/lang/String;)[[Ljava/lang/String;,139,fri/patterns/interpreter/parsergenerator/lexer/StandardLexerRules.getHexDigitRules:()[[Ljava/lang/String;,1
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/syntax/builder/SyntaxBuilderParserTables.<init>:()V,1,fri/patterns/interpreter/parsergenerator/parsertables/AbstractParserTables.<init>:()V,0
url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,de/measite/minidns/dnssec/UnverifiedReason$AlgorithmExceptionThrownReason.<init>:(Lde/measite/minidns/DNSSECConstants$DigestAlgorithm;Ljava/lang/String;Lde/measite/minidns/Record;Ljava/lang/Exception;)V,1,de/measite/minidns/dnssec/UnverifiedReason.<init>:()V,0
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,ru/spbau/tinydb/bufferManager/IndexTest.checkSelect:(Lru/spbau/tinydb/engine/IDataBase;Lru/spbau/tinydb/queries/WhereCondition;)V,34,ru/spbau/tinydb/cursors/IndexJoinCursor.hasNext:()Z,1
url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8,fr/inria/optimization/cmaes/CMAEvolutionStrategy.testAndCorrectNumerics:()V,106,fr/inria/optimization/cmaes/CMAParameters.getDamps:()D,1
